TICKER,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT,FPEDATS1
AAPL,0.06,20020417,16:54:00,31MAR2002
INTC,0.15,20020416,16:25:00,31MAR2002
MSFT,0.24,20020418,19:17:00,31MAR2002
AAPL,0.05,20020716,17:17:00,30JUN2002
INTC,0.09,20020716,16:32:00,30JUN2002
MSFT,0.21,20020718,17:40:00,30JUN2002
AAPL,0.01,20021016,15:31:00,30SEP2002
INTC,0.11,20021015,16:29:00,30SEP2002
MSFT,0.27,20021017,17:57:00,30SEP2002
AAPL,0.02,20030115,16:32:00,31DEC2002
INTC,0.16,20030114,16:26:00,31DEC2002
MSFT,0.26,20030116,17:25:00,31DEC2002
NFLX,0.01,20030115,17:39:00,31DEC2002
AAPL,0.02,20030416,16:34:00,31MAR2003
INTC,0.14,20030415,16:16:00,31MAR2003
MSFT,0.27,20030415,16:21:00,31MAR2003
NFLX,0,20030417,17:42:00,31MAR2003
AAPL,0.03,20030716,16:39:00,30JUN2003
INTC,0.14,20030715,16:16:00,30JUN2003
MSFT,0.23,20030717,16:15:00,30JUN2003
NFLX,0.08,20030717,16:48:00,30JUN2003
AAPL,0.04,20031015,16:38:00,30SEP2003
INTC,0.25,20031014,16:15:00,30SEP2003
MSFT,0.3,20031023,16:15:00,30SEP2003
NFLX,0.1,20031015,17:19:00,30SEP2003
AAPL,0.08,20040114,16:31:00,31DEC2003
INTC,0.33,20040114,16:16:00,31DEC2003
MSFT,0.34,20040122,16:16:00,31DEC2003
NFLX,0.1,20040121,17:49:00,31DEC2003
AAPL,0.07,20040414,15:30:00,31MAR2004
INTC,0.26,20040413,16:15:00,31MAR2004
MSFT,0.34,20040422,16:39:00,31MAR2004
NFLX,-0.03,20040415,16:08:00,31MAR2004
AAPL,0.09,20040714,16:30:00,30JUN2004
INTC,0.27,20040713,16:15:00,30JUN2004
MSFT,0.28,20040722,16:20:00,30JUN2004
NFLX,0.11,20040715,17:20:00,30JUN2004
AAPL,0.14,20041013,19:23:00,30SEP2004
GOOG,0.7,20041021,16:27:00,30SEP2004
INTC,0.3,20041012,16:15:00,30SEP2004
MSFT,0.31,20041021,16:15:00,30SEP2004
NFLX,0.35,20041014,16:42:00,30SEP2004
AAPL,0.35,20050112,16:50:00,31DEC2004
GOOG,0.92,20050201,16:02:00,31DEC2004
INTC,0.33,20050111,16:15:00,31DEC2004
MSFT,0.35,20050127,16:17:00,31DEC2004
NFLX,0.14,20050124,0:00:00,31DEC2004
AAPL,0.34,20050413,17:19:00,31MAR2005
GOOG,1.29,20050421,16:10:00,31MAR2005
INTC,0.35,20050419,16:17:00,31MAR2005
MSFT,0.32,20050428,16:17:00,31MAR2005
NFLX,-0.09,20050421,16:15:00,31MAR2005
AAPL,0.37,20050713,16:30:00,30JUN2005
GOOG,1.36,20050721,8:37:00,30JUN2005
INTC,0.33,20050719,16:15:00,30JUN2005
MSFT,0.32,20050721,16:18:00,30JUN2005
NFLX,0.14,20050725,16:16:00,30JUN2005
